Title,Longitude,Latitude

ISAGO PRIMARY SCHOOL,-28.7158,24.7247

MOLEHABANGWE,-28.71198,24.7229

MONTSHIWA PRIMARY SCHOOL,-28.71433,24.74351

kIMBERLEY ISLAMIC SCHOOL,-28.71913,24.7247

UNKNOWN,,

UNKNOWN,,

UNKNOWN,,

EMANG MMOGO HIGH SCHOOL,-28.71419,24.72868

FLOORS HIGH SCHOOL,-28.72248,24.76031

H/SKOOL NOORD-KAAP,-28.7512,24.75046

KIMBERLEY GIRLS HIGH SCHOOL,-28.74784,24.77821

TSWELOPELE CORRECTIONAL CENTRE,-28.74331,24.71424

H/TEGNIESE SKOOL KIMBERLEY,-28.75337,24.74605

FLOORS NORTH PRIMARY SCHOOL,-28.71485,24.76537

KEVIN NKOANE PRIM SKOOL/SCHOOL,-28.7376,24.73748

PROGRESS PRIMARY SCHOOL,-28.71945,24.76181

TSHIAMO PRIMARY SCHOOL,-28.70945,24.721

UNKNOWN,-28.51977,24.69688

H/SKOOL ADAMANTIA,-28.7474,24.759

HOMEVALE HIGH SCHOOL,-28.68767,24.7345

THABANE HIGH SCHOOL,-28.71058,24.72151

VUYOLWETHU HIGH SCHOOL,-28.72127,24.71191

FRANCES BAARD NORTHERN CAPE EDUCATION DEPARTMENT,-28.74742,24.78591

UNKNOWN,-28.75839,24.77174

UNKNOWN,-28.74728,24.74976

OLYMPIC PRIMARY SCHOOL,-28.72502,24.75322

HOMEVALE PRIMARY SCHOOL,-28.6983,24.73975

UNKNOWN,-28.7545,24.76631

DIAMANTVELD PRIMARY SCHOOL,-28.73251,24.76603

LUCRETIA PRIMARY SCHOOL,-28.66078,24.71533

UNKNOWN,-28.72067,24.74917

RIETRIVIER PRIMARY,-29.03801,24.58787

FLAMINGO PRIMARY SCHOOL,-28.71069,24.74797

PESCODIA PRIMARY SCHOOL,-28.66835,24.72428

UNKNOWN,-28.74775,24.77508

UNKNOWN,-29.02538,24.58826

H/SKOOL RIETVALE,-29.03569,24.58589

UNKNOWN,-28.7009,24.71699

ST BONIFACE HIGH SCHOOL,-28.72738,24.73787

WILLIAM PESCOD HIGH SCHOOL,-28.72527,24.76657

BEACON PRIMARY SCHOOL,-28.710185,24.754936

UNKNOWN,-28.7186,24.74326

ENDEAVOUR PRIMARY SCHOOL,-28.71818,24.76394

DUTOITSPAN LAERSKOOL,-28.75606,24.78145

MASIZA SENIOR PHASE,-28.7037,24.72432

UNKNOWN,-28.70636,24.73241

UNKNOWN,,

H/SKOOL DIAMANTVELD,-28.75058,24.77206

EMMANUEL HIGH SCHOOL,-28.69599,24.73157

KIMBERLEY BOYS HIGH SCHOOL,-28.74938,24.7686

H/SKOOL PESCODIA,-28.6674,24.72591

TSHIRELECO HIGH SCHOOL,-28.72118,24.752

E P LEKHELA HIGH SCHOOL,-28.7125,24.70883

GROENPUNT PRIMARY,-28.7788,24.77193

TSHWARELELA PRIMARY SCHOOL,-28.7216,24.71191

UNKNOWN,-28.75422,24.74314

Vooruitsig Laerskool,-28.75398,24.7613

NC EDUCATION DEPT,-28.70684,24.72871

LAERSKOOL ROODEPAN,-28.60626,24.71744

SOL - PLAATJE PRIMARY SCHOOL,-28.71467,24.7335

UNKNOWN,-28.70183,24.71933

Venus Provincial,-28.69528,24.73986

UNKNOWN,-28.7371,24.74147

Zingisa Intermidiate School,-28.72034,24.73339

Schmidtsdrift Batlhaping Intermediate,-28.70252,24.06053

IXUNKHWESA COMBINED SCHOOL,-28.70804,24.65462

TETLANYO HIGH SCHOOL,-28.71005,24.72528

GREENPOINT HIGH SCHOOL,-28.77855,24.77485

Pescodia High School,,

UNKNOWN,,

Setsabelo Primary,-28.1638,24.47566

FLOORS NO 2 HIGH SCHOOL,,

UNKNOWN,,

